,S&P 500 Index,SCHG,SCHV,Invesco Funds - Invesco Global Investment Grade Corporate Bond Fund,iShares Core Global Aggt Bd ETF USD Dist,PIMCO GIS Asia Strategic Interest Bond Fund,"JANUS HENDERSON US SHORT TERM BOND ""A2"" (USD) ACC",Neuberger Berman High Yield Bond,Bloomberg Global-Aggregate Total Return Index Value Unhedged USD,MSCI World Index,MSCI World Net Total Return USD Index,AQUMON MPF Composite Index,AQUMON MPF Bond Index,AQUMON MPF Mixed Index,AQUMON MPF DIS Index,AQUMON MPF Equity Index,AQUMON MPF Equity Global Index,AQUMON MPF Equity US Index,AQUMON MPF Equity Europe Index,AQUMON MPF Equity Asia Index,AQUMON MPF Equity Greatchina index
2014-01-02,1.3004,71.76292,9.83,,,,16.53,13.93,452.8059,1645.22,4290.004,1,1,1,1,1,1,1,1,1,1
2014-01-03,1.2967,71.80454,9.83,,,,16.52,13.94,452.8824,1646.05,4292.306,0.994127553,0.999886674,0.996164924,0.999219678,0.989386325,0.998563908,0.998821076,1.001840821,0.984163302,0.981262884
2014-01-06,1.2917,71.59644,9.84,,,,16.53,13.96,453.6633,1641.16,4279.574,0.990428909,0.999702527,0.992834034,0.998439356,0.983496181,0.995381136,0.996193111,1.002316507,0.976312158,0.972351734
2014-01-07,1.2928,71.86697,9.85,,,,16.53,13.98,453.71,1647.65,4296.518,0.991300779,1.000299377,0.993900118,0.999388123,0.984360795,0.999454694,1.001112886,1.00845818,0.97512807,0.971617846
2014-01-08,1.2945,71.98142,9.86,,,,16.52,13.98,452.9219,1650.17,4303.578,0.995850282,1.000007064,0.998202893,1.000795797,0.991721116,1.003421449,1.002852396,1.009878716,0.984879131,0.982582819
2014-01-09,1.2902,71.81494,9.86,,,,16.53,13.99,452.8723,1646.37,4293.676,0.992053202,0.999533679,0.994742987,0.999541092,0.985860022,1.001600028,1.002965164,1.00837006,0.976627406,0.973227219
2014-01-10,1.2984,72.19992,9.86,,,,16.54,14,455.728,1655.11,4316.469,0.994426321,1.00070592,0.998192514,1.002685593,0.988018399,1.005830434,1.006029739,1.015588274,0.977470855,0.973933793
2014-01-13,1.2912,71.77332,9.87,,,,16.55,14.02,456.8095,1645.41,4291.351,0.995149441,1.002136889,0.998640147,1.003787329,0.988580332,1.000581448,0.993608069,1.017388858,0.981059581,0.976202418
2014-01-14,1.2928,72.06466,9.87,,,,16.54,14.02,456.7288,1651.73,4307.877,0.993919994,1.00209673,0.997090886,1.0028463,0.986965406,1.004098454,1.002349963,1.019929643,0.976222867,0.97213553
2014-01-15,1.2964,72.41843,9.87,,,,16.54,14.03,454.5971,1660,4329.708,0.996667222,1.001207691,0.999962027,1.003473652,0.991575736,1.009284206,1.00746703,1.027054893,0.980287147,0.977092557
