date,EURUSD Curncy,HKDUSD Curncy,JPYUSD Curncy
2005-01-03,1.348,0.12856,0.009728
2005-01-04,1.3303,0.12844,0.009591
2005-01-05,1.3282,0.12839,0.009624
2005-01-06,1.3182,0.1283,0.00953
2005-01-07,1.3054,0.12833,0.009517
2005-01-10,1.309,0.12829,0.009595
2005-01-11,1.3136,0.12828,0.009687
2005-01-12,1.3275,0.12832,0.009772
2005-01-13,1.3216,0.12834,0.009749
2005-01-14,1.3112,0.12828,0.0098
2005-01-17,1.3079,0.12825,0.0098
2005-01-18,1.3037,0.12823,0.009759
2005-01-19,1.3011,0.12822,0.009759
2005-01-20,1.2948,0.12823,0.009674
2005-01-21,1.3039,0.12822,0.009735
2005-01-24,1.3045,0.12823,0.009735
2005-01-25,1.2965,0.12823,0.009591
2005-01-26,1.3098,0.12823,0.009715
2005-01-27,1.3032,0.12822,0.009692
2005-01-28,1.3038,0.12822,0.009664
2005-01-31,1.3046,0.1282,0.009656
2005-02-01,1.3034,0.1282,0.009644
2005-02-02,1.3022,0.1282,0.009621
2005-02-03,1.2964,0.12821,0.009561
2005-02-04,1.2869,0.12822,0.009628
2005-02-07,1.2759,0.1282,0.009537
2005-02-08,1.2787,0.1282,0.009469
2005-02-09,1.2788,0.12821,0.00945
2005-02-10,1.2905,0.12821,0.009475
2005-02-11,1.2866,0.1282,0.009465
2005-02-14,1.2976,0.12821,0.009519
2005-02-15,1.3024,0.1282,0.009587
2005-02-16,1.302,0.1282,0.009483
2005-02-17,1.3084,0.12821,0.009486
2005-02-18,1.3072,0.1282,0.009463
2005-02-21,1.3071,0.12822,0.009477
2005-02-22,1.3234,0.12822,0.009595
2005-02-23,1.3207,0.12822,0.009529
2005-02-24,1.3214,0.12821,0.009489
2005-02-25,1.3245,0.12821,0.00951
2005-02-28,1.3254,0.12822,0.009572
2005-03-01,1.3174,0.12821,0.009579
2005-03-02,1.3125,0.12822,0.009548
2005-03-03,1.3125,0.12821,0.009515
2005-03-04,1.3237,0.12821,0.009563
2005-03-07,1.3215,0.12821,0.009508
2005-03-08,1.3331,0.1282,0.009556
2005-03-09,1.3408,0.12821,0.009639
2005-03-10,1.3417,0.12821,0.009607
2005-03-11,1.3458,0.12821,0.00962
2005-03-14,1.3353,0.12821,0.009514
2005-03-15,1.3317,0.1282,0.009582
2005-03-16,1.3412,0.12821,0.009594
2005-03-17,1.336,0.12821,0.009558
2005-03-18,1.3326,0.12821,0.009546
2005-03-21,1.3158,0.12821,0.009502
2005-03-22,1.3196,0.12821,0.009516
2005-03-23,1.2992,0.12821,0.009426
2005-03-24,1.2954,0.1282,0.009407
2005-03-25,1.2959,0.1282,0.009399
2005-03-28,1.2884,0.12821,0.00932
2005-03-29,1.2914,0.1282,0.009296
2005-03-30,1.2964,0.12821,0.009317
2005-03-31,1.2968,0.12821,0.009328
2005-04-01,1.2914,0.12821,0.009293
2005-04-04,1.2841,0.12821,0.009233
2005-04-05,1.2849,0.12822,0.00923
2005-04-06,1.2887,,0.009212
2005-04-07,1.2904,0.12821,0.00922
2005-04-08,1.2932,0.12822,0.009229
2005-04-11,1.2995,0.12822,0.009282
2005-04-12,1.2883,0.12821,0.009241
2005-04-13,1.2904,0.12822,0.009308
2005-04-14,1.2815,0.12822,0.009242
2005-04-15,1.2924,0.12823,0.009285
2005-04-18,1.3033,0.12823,0.00931
2005-04-19,1.3026,0.12823,0.009344
2005-04-20,1.3087,0.12822,0.009368
2005-04-21,1.304,0.12822,0.009344
2005-04-22,1.3065,0.12828,0.009442
2005-04-25,1.2978,0.12827,0.009466
2005-04-26,1.2961,0.12824,0.009427
2005-04-27,1.2936,0.12824,0.00943
2005-04-28,1.2896,0.12823,0.00944
2005-04-29,1.2873,0.12827,0.009545
2005-05-02,1.2845,0.12826,0.00952
2005-05-03,1.2891,0.12826,0.009516
2005-05-04,1.2937,0.12831,0.009544
2005-05-05,1.2954,0.12832,0.009582
2005-05-06,1.2819,0.12833,0.009544
2005-05-09,1.2832,0.12825,0.009467
2005-05-10,1.2876,0.12823,0.009471
2005-05-11,1.281,0.12823,0.009468
2005-05-12,1.2704,0.12823,0.009369
