date,SPX Index,SCHG US Equity,SCHV US Equity,IWM US Equity,MXEF Index,SXXP Index,MXCN Index,TPX Index,MXPC Index,S5ENRS Index,S5INFT Index,LGCPTRUU Index,JPEIDIVR Index,TLT US Equity,SHY US Equity,LF94TRUU Index,LG30TRUU Index,DXY Curncy,MXEU0CX0 Index,JPMVXYEM Index,XAU Curncy,SPGCPM Index,DWGRTN Index,PSP US Equity,QAI US Equity
2005-01-03,1202.08,,,127.82,542.22,252.55,25.44,,1926.14,279.54,326.83,154.0291,330.49,88.74,81.44,208.4971,496.208,81.36,,9.93,428.54,574.872,988.88,,
2005-01-04,1188.05,,,125.08,532.89,253.55,25.0,1153.38,1905.17,277.77,320.39,152.9072,329.18,87.81,81.26,206.893,494.4679,82.53,,10.07,427.75,573.81,976.49,,
2005-01-05,1183.74,,,122.58,525.2,251.85,24.28,1143.36,1894.48,276.71,318.85,152.9605,328.1,88.28,81.28,206.6368,493.1638,82.57,,10.22,426.44,572.194,950.28,,
2005-01-06,1187.89,,,123.23,518.25,253.09,24.11,1147.97,1880.29,281.27,318.07,152.4323,327.56,88.34,81.32,206.0356,492.2259,83.13,,10.49,422.06,564.621,952.9,,
2005-01-07,1186.19,,,121.86,518.96,254.72,23.93,1145.76,1878.45,279.0,318.82,151.9936,327.89,88.54,81.33,205.1083,491.7754,83.6,,10.27,417.5,562.55,953.57,,
2005-01-10,1190.24,,,123.1,519.86,254.62,23.99,,1885.16,280.66,319.5,152.3607,327.37,88.68,81.28,205.8308,491.602,83.33,,9.95,419.07,563.342,951.72,,
2005-01-11,1182.99,,,121.6,521.77,252.73,23.95,1157.3,1907.73,280.49,316.02,152.8325,327.9,89.2,81.3,206.1908,491.3961,83.07,,9.8,422.1,568.723,945.57,,
2005-01-12,1187.7,,,122.1,522.25,250.79,24.09,1147.89,1918.67,285.25,317.87,153.7236,329.32,89.32,81.31,207.4843,492.5103,82.15,,9.92,426.31,575.229,945.61,,
2005-01-13,1177.45,,,121.73,525.0,251.73,24.1,1140.04,1906.69,286.34,314.64,153.679,330.18,90.18,81.41,207.1637,492.5618,82.41,,9.89,424.55,573.972,947.12,,
2005-01-14,1184.52,,,122.89,528.16,252.99,23.9,1145.69,1905.97,288.84,316.34,152.9584,329.02,90.17,81.37,205.9904,491.4513,82.97,,9.99,422.85,570.161,950.74,,
2005-01-17,,,,,531.68,254.03,24.26,1150.3,1918.07,,,152.9998,,,,206.0428,491.3776,83.13,,10.05,422.45,,952.24,,
2005-01-18,1195.98,,,124.35,528.23,254.28,24.4,1145.21,1902.05,291.68,319.2,152.8278,328.34,90.47,81.34,206.1005,490.693,83.38,,9.91,423.35,571.274,958.7,,
2005-01-19,1184.63,,,122.57,529.18,254.73,24.51,1144.3,1904.0,290.2,312.75,153.0234,328.91,90.73,81.35,206.1913,490.9878,83.5,,9.84,423.65,570.657,961.32,,
2005-01-20,1175.41,,,121.84,524.32,253.69,24.32,1133.37,1877.56,287.59,310.07,152.5502,329.4,90.91,81.42,205.4128,490.3248,83.79,,9.92,422.34,569.243,954.66,,
2005-01-21,1167.87,,,121.56,525.49,253.42,24.06,1132.18,1876.81,287.36,307.49,152.8483,330.42,91.01,81.5,205.7705,490.869,83.31,,9.73,427.45,576.596,957.31,,
2005-01-24,1163.75,,,120.63,527.31,253.28,23.96,1139.18,1891.05,290.31,303.93,153.3441,331.28,91.4,81.45,206.4856,491.7529,83.25,,9.64,427.04,577.365,952.53,,
2005-01-25,1168.41,,,120.94,527.85,254.94,24.36,1138.03,1871.65,291.68,305.96,152.5686,331.45,90.54,81.42,205.0224,491.8133,83.94,,9.53,421.7,569.835,938.13,,
2005-01-26,1174.07,,,122.55,532.79,255.03,24.57,1144.89,1902.96,294.35,308.78,153.2583,331.74,90.71,81.39,206.125,492.6321,83.21,,9.49,427.62,576.657,942.07,,
2005-01-27,1174.55,,,122.9,533.86,256.12,24.61,1141.94,1897.22,296.35,309.76,153.0474,331.56,90.54,81.37,205.8164,492.7951,83.41,,9.57,425.61,575.938,935.88,,
2005-01-28,1171.36,,,122.8,535.71,255.14,24.68,1140.7,1891.97,293.39,308.91,153.237,332.11,91.45,81.41,206.1361,493.3038,83.45,,9.55,425.2,575.363,936.94,,
2005-01-31,1181.27,,,124.24,542.28,256.85,24.85,1146.14,1900.45,296.47,312.26,153.4351,332.48,91.71,81.4,206.3871,493.802,83.54,,9.6,421.5,570.118,934.47,,
2005-02-01,1189.41,,,124.94,541.82,258.86,24.55,1146.49,1891.71,302.7,313.32,153.2441,332.4,91.22,81.25,206.1401,494.1464,83.49,,9.57,420.72,568.523,938.02,,
2005-02-02,1193.19,,,125.89,543.43,259.67,24.67,1151.97,1901.14,306.69,313.58,153.4234,332.34,91.43,81.22,206.3307,494.91,83.52,,9.42,420.69,568.813,947.2,,
